District,Median_Income,Representative,Party
CA-17,157049,R. Khanna,Democrat
CA-16,150720,A. Eshoo,Democrat
VA-10,140815,J. Wexton,Democrat
VA-11,139003,G. Connolly,Democrat
CA-10,135150,M. DeSaulnier,Democrat
CA-15,125855,K. Mullin,Democrat
CA-11,124456,N. Pelosi,Democrat
NY-4,121979,A. D’Esposito,Republican
MD-8,120948,J. Raskin,Democrat
WA-1,120671,S. DelBene,Democrat
NY-1,120031,N. LaLota,Republican
NJ-7,119567,T. Kean,Republican
CA-14,119209,E. Swalwell,Democrat
NY-3,119185,G. Santos,Republican
NJ-11,117198,M. Sherrill,Democrat
MD-5,117049,S. Hoyer,Democrat
VA-8,116332,D. Beyer,Democrat
NY-12,116070,J. Nadler,Democrat
MA-5,115618,K. Clark,Democrat
MD-3,114804,J. Sarbanes,Democrat
NY-17,114511,M. Lawler,Republican
CA-40,113590,Y. Kim,Republican
NJ-5,113326,J. Gottheimer,Democrat
WA-8,111589,K. Schrier,Democrat
WA-7,111033,P. Jayapal,Democrat
CA-36,110638,T. Lieu,Democrat
NY-2,109607,A. Garbarino,Republican
CA-49,108544,M. Levin,Democrat
GA-6,108217,R. McCormick,Republican
CA-19,108115,J. Panetta,Democrat
CA-47,106156,K. Porter,Democrat
CT-4,103548,J. Himes,Democrat
MA-6,103105,S. Moulton,Democrat
CA-50,103036,S. Peters,Democrat
NJ-3,102960,A. Kim,Democrat
VA-7,102189,A. Spanberger,Democrat
TX-26,102036,M. Burgess,Republican
MA-4,101977,J. Auchincloss,Democrat
CO-4,101778,K. Buck,Republican
IL-5,101166,M. Quigley,Democrat
MA-8,100517,S. Lynch,Democrat
TX-3,100514,K. Self,Republican
PA-1,100136,B. Fitzpatrick,Republican
CA-26,99443,J. Brownley,Democrat
PA-4,99271,M. Dean,Democrat
NJ-12,99002,B. Watson Coleman,Democrat
TX-24,98648,B. Van Duyne,Republican
AZ-5,97042,A. Biggs,Republican
NY-16,96948,J. Bowman,Democrat
CA-48,96266,D. Issa,Republican
MN-2,95999,A. Craig,Democrat
NY-10,95778,D. Goldman,Democrat
IL-11,95707,B. Foster,Democrat
CA-32,95423,B. Sherman,Democrat
MN-3,95334,D. Phillips,Democrat
CA-3,94516,K. Kiley,Republican
PA-6,94356,C. Houlahan,Democrat
VA-1,93142,R. Wittman,Republican
NC-2,92635,D. Ross,Democrat
IL-10,92214,B. Schneider,Democrat
NH-1,91872,C. Pappas,Democrat
NJ-6,91772,F. Pallone Jr.,Democrat
CA-45,91764,M. Steel,Republican
CA-51,91701,S. Jacobs,Democrat
TX-38,91184,W. Hunt,Republican
CA-12,91100,B. Lee,Democrat
CA-28,91049,J. Chu,Democrat
MN-6,90836,T. Emmer,Republican
TX-22,90555,T. Nehls,Republican
CA-18,90456,Z. Lofgren,Democrat
CA-27,90400,M. Garcia,Republican
DC-At Large,90088,E. Norton,Democrat
MO-2,89358,A. Wagner,Republican
HI-1,89167,E. Case,Democrat
KS-3,88701,S. Davids,Democrat
WA-9,88622,A. Smith,Democrat
MD-2,87980,D. Ruppersberger,Democrat
IL-6,87929,S. Casten,Democrat
CA-38,87928,L. Sánchez,Democrat
MA-9,87687,W. Keating,Democrat
CO-7,87480,B. Pettersen,Democrat
CO-2,87437,J. Neguse,Democrat
CA-41,87429,K. Calvert,Republican
UT-4,87320,B. Owens,Republican
MA-2,86865,J. McGovern,Democrat
MD-6,86245,D. Trone,Democrat
CA-2,86015,J. Huffman,Democrat
AZ-1,86002,D. Schweikert,Republican
MI-6,85891,D. Dingell,Democrat
TX-2,85790,D. Crenshaw,Republican
NY-18,84999,P. Ryan,Democrat
CA-8,84973,J. Garamendi,Democrat
CA-4,84644,M. Thompson,Democrat
IL-8,84500,R. Krishnamoorthi,Democrat
NH-2,84417,A. Kuster,Democrat
TX-21,84168,C. Roy,Republican
NJ-4,84057,C. Smith,Republican
CA-24,83996,S. Carbajal,Democrat
CO-6,83883,J. Crow,Democrat
WI-5,83862,S. Fitzgerald,Republican
TX-8,83814,M. Luttrell,Republican
CT-2,83734,J. Courtney,Democrat
MI-11,83176,H. Stevens,Democrat
MA-3,83024,L. Trahan,Democrat
VA-2,82927,J. Kiggans,Republican
GA-11,82747,B. Loudermilk,Republican
TX-4,82640,P. Fallon,Republican
CA-7,82607,D. Matsui,Democrat
CO-8,82465,Y. Caraveo,Democrat
OR-1,82256,S. Bonamici,Democrat
TX-31,81714,J. Carter,Republican
TX-37,81520,L. Doggett,Democrat
IL-14,81316,L. Underwood,Democrat
CA-9,81223,J. Harder,Democrat
CO-1,81218,D. DeGette,Democrat
OR-5,81113,L. Chavez-DeRemer,Republican
MD-1,80984,A. Harris,Republican
CA-35,80963,N. Torres,Democrat
UT-3,80915,J. Curtis,Republican
MD-4,80808,G. Ivey,Democrat
CT-5,80655,J. Hayes,Democrat
NJ-1,80459,D. Norcross,Democrat
CA-5,80355,T. McClintock,Republican
IL-9,80300,J. Schakowsky,Democrat
CA-31,80102,G. Napolitano,Democrat
NY-7,79594,N. Velázquez,Democrat
CO-5,79567,D. Lamborn,Republican
OR-3,79532,E. Blumenauer,Democrat
WA-10,79478,M. Strickland,Democrat
HI-2,79474,J. Tokuda,Democrat
WA-3,79251,M. Perez,Democrat
CT-3,78911,R. DeLauro,Democrat
CA-30,78476,A. Schiff,Democrat
SC-1,78342,N. Mace,Republican
MN-4,78280,B. McCollum,Democrat
TN-5,78185,A. Ogles,Republican
CA-39,78174,M. Takano,Democrat
PA-17,77984,C. Deluzio,Democrat
WA-6,77880,D. Kilmer,Democrat
AK-At Large,77845,M. Peltola,Democrat
UT-1,77807,B. Moore,Republican
FL-5,77698,J. Rutherford,Republican
RI-2,77649,S. Magaziner,Democrat
CA-46,77648,L. Correa,Democrat
WA-2,77404,R. Larsen,Democrat
NY-20,77230,P. Tonko,Democrat
CA-20,77205,K. McCarthy,Republican
CT-1,77023,J. Larson,Democrat
NY-11,76805,N. Malliotakis,Republican
IL-3,76411,D. Ramirez,Democrat
NC-14,76176,J. Jackson,Democrat
ME-1,76039,C. Pingree,Democrat
NJ-9,75997,B. Pascrell Jr.,Democrat
WI-2,75880,M. Pocan,Democrat
PA-11,75875,L. Smucker,Republican
MA-7,75812,A. Pressley,Democrat
CA-33,75770,P. Aguilar,Democrat
OH-7,75339,M. Miller,Republican
FL-25,75269,D. Wasserman Schultz,Democrat
PA-5,75243,M. Scanlon,Democrat
OR-6,74711,A. Salinas,Democrat
NV-2,74058,M. Amodei,Republican
TX-12,74002,K. Granger,Republican
NJ-2,73928,J. Van Drew,Republican
TX-10,73784,M. McCaul,Republican
NY-5,73628,G. Meeks,Democrat
MI-9,73460,L. McClain,Republican
CA-52,73215,J. Vargas,Democrat
CA-44,73188,N. Barragán,Democrat
AZ-8,73095,D. Lesko,Republican
FL-16,72884,V. Buchanan,Republican
CA-6,72860,A. Bera,Democrat
GA-7,72792,L. McBath,Democrat
UT-2,72791,C. Stewart,Republican
IL-16,72666,D. LaHood,Republican
FL-11,72624,D. Webster,Republican
NE-2,72455,D. Bacon,Republican
VT-At Large,72431,B. Balint,Democrat
PA-10,72359,S. Perry,Republican
GA-5,71695,N. Williams,Democrat
NJ-8,71688,R. Menendez Jr.,Democrat
MN-5,71636,I. Omar,Democrat
NC-13,71598,W. Nickel,Democrat
PA-7,71407,S. Wild,Democrat
TX-14,71372,R. Weber,Republican
MO-3,71309,B. Luetkemeyer,Republican
DE-At Large,71091,L. Blunt Rocheste,Democrat
IA-3,70794,Z. Nunn,Republican
FL-21,70739,B. Mast,Republican
FL-19,70698,B. Donalds,Republican
KY-4,70561,T. Massie,Republican
OH-8,70382,W. Davidson,Republican
IN-5,70367,V. Spartz,Republican
IL-7,70210,D. Davis,Democrat
AZ-4,70204,G. Stanton,Democrat
NY-6,70187,G. Meng,Democrat
FL-23,70142,J. Moskowitz,Democrat
MI-7,70080,E. Slotkin,Democrat
MN-1,69959,B. Finstad,Republican
OH-1,69885,G. Landsman,Democrat
RI-1,69666,D. Cicilline,Democrat
TX-23,69566,T. Gonzales,Republican
GA-4,69415,H. Johnson,Democrat
WI-1,69394,B. Steil,Republican
GA-9,69258,A. Clyde,Republican
AL-6,69221,G. Palmer,Republican
NV-3,69204,S. Lee,Democrat
NC-12,69019,A. Adams,Democrat
NE-1,68908,M. Flood,Republican
IN-4,68746,J. Baird,Republican
ID-1,68661,R. Fulcher,Republican
FL-22,68585,L. Frankel,Democrat
TX-25,68500,R. Williams,Republican
AL-5,68269,D. Strong,Republican
AZ-6,68146,J. Ciscomani,Republican
TX-7,68025,L. Fletcher,Democrat
GA-10,67918,M. Collins,Republican
OH-15,67626,M. Carey,Republican
WI-8,67451,M. Gallagher,Republican
CA-42,67435,R. Garcia,Democrat
AZ-9,67407,P. Gosar,Republican
MN-8,67313,P. Stauber,Republican
CA-43,67279,M. Waters,Democrat
MI-3,67276,H. Scholten,Democrat
TX-6,67221,J. Ellzey,Republican
OH-4,67184,J. Jordan,Republican
MI-10,67019,J. James,Republican
WA-4,66812,D. Newhouse,Republican
IL-4,66787,J. García,Democrat
CA-29,66767,T. Cárdenas,Democrat
FL-7,66695,C. Mills,Republican
GA-3,66688,D. Ferguson,Republican
ND-At Large,66519,K. Armstrong,Republican
NC-4,66293,V. Foushee,Democrat
SD-At Large,66143,D. Johnson,Republican
IN-6,66074,G. Pence,Republican
WI-6,66013,G. Grothman,Republican
OH-12,65943,T. Balderson,Republican
TX-5,65835,L. Gooden,Republican
FL-1,65793,M. Gaetz,Republican
LA-6,65719,G. Graves,Republican
NY-25,65695,J. Morelle,Democrat
CA-23,65634,J. Obernolte,Republican
FL-17,65418,G. Steube,Republican
TX-36,65378,B. Babin,Republican
MI-4,65294,B. Huizenga,Republican
WY-At Large,65204,H. Hageman,Republican
LA-1,65197,S. Scalise,Republican
FL-28,64881,C. Gimenez,Republican
NY-24,64880,C. Tenney,Republican
FL-27,64869,M. Elvira Salazar,Republican
MO-6,64857,S. Graves,Republican
MA-1,64803,R. Neal,Democrat
MN-7,64737,M. Fischbach,Republican
ID-2,64712,M. Simpson,Republican
WI-7,64670,T. Tiffany,Republican
IL-15,64632,M. Miller,Republican
AR-3,64608,S. Womack,Republican
TN-7,64551,M. Green,Republican
