Ascending_Rank,District,Median_Income,Representative,Party
1,PR-At Large,22237,J. González-Colón,Republican
2,AS-At Large,28352,A. Coleman,Republican
3,MP-At Large,31362,G. Sablan,Democrat
4,KY-5,37910,H. Rogers,Republican
5,MS-2,37933,B. G. Thompson,Democrat
6,NY-15,40319,R. Torres,Democrat
7,VI-At Large,40408,S. Plaskett,Democrat
8,AL-7,41736,T. A. Sewell,Democrat
9,LA-5,43382,J. Letlow,Republican
10,MI-13,44238,S. Thanedar,Democrat
11,LA-2,44363,T. Carter,Democrat
12,TX-34,44936,V. Gonzalez,Democrat
13,LA-4,44998,M. Johnson,Republican
14,OH-11,45480,S. Brown,Democrat
15,AR-4,45508,B. Westerman,Republican
16,AR-1,45517,R. Crawford,Republican
17,NY-13,45683,A. Espaillat,Democrat
18,GA-2,45826,S. D. Bishop Jr.,Democrat
19,WV-1,46156,C. Miller,Republican
20,NC-1,46702,D. Davis,Democrat
21,SC-6,47009,J. Clyburn,Democrat
22,OK-2,47017,J. Brecheen,Republican
23,TN-9,47518,S. Cohen,Democrat
24,TX-29,48391,S. Garcia,Democrat
25,CA-22,48917,D. Valadao,Republican
26,TN-1,49065,D. Harshbarger,Republican
27,AL-3,49465,M. Rogers,Republican
28,IL-17,49788,E. Sorensen,Democrat
29,NM-2,49905,G. Vasquez,Democrat
30,TX-15,50003,M. De La Cruz,Republican
31,VA-9,50037,M. Griffith,Republican
32,AL-4,50227,R. Aderholt,Republican
33,AL-2,50597,B. Moore,Republican
34,AZ-7,50668,R. Grijalva,Democrat
35,SC-7,50905,R. Fry,Republican
36,OK-3,51174,F. Lucas,Republican
37,TX-16,51323,V. Escobar,Democrat
38,NM-3,51404,T. Leger Fernandez,Democrat
39,GA-8,51525,A. Scott,Republican
40,NC-5,51640,V. Foxx,Republican
41,FL-24,51688,F. Wilson,Democrat
42,MO-1,51770,C. Bush,Democrat
43,FL-20,51795,S. Cherfilus-McCormic,Democrat
44,WI-4,51865,G. Moore,Democrat
45,MI-12,51973,R. Tlaib,Democrat
46,KY-1,51974,J. Comer,Republican
47,FL-3,52054,K. Cammack,Republican
48,TX-33,52202,M. Veasey,Democrat
49,AL-1,52278,J. Carl,Republican
50,PA-2,52293,B. Boyle,Democrat
51,OH-6,52326,B. Johnson,Republican
52,FL-18,52435,S. Franklin,Republican
53,MS-3,52442,M. Guest,Republican
54,CA-34,52491,J. Gomez,Democrat
55,MS-4,52683,W. Ezell,Republican
56,MO-8,52952,J. Smith,Republican
57,MS-1,53298,T. Kelly,Republican
58,TX-18,53533,S. Jackson Lee,Democrat
59,MI-8,53588,D. Kildee,Democrat
60,CA-21,53745,J. Costa,Democrat
61,LA-3,53747,C. Higgins,Republican
62,GA-12,53832,R. Allen,Republican
63,TX-19,54084,J. Arrington,Republican
64,TX-20,54117,J. Castro,Democrat
65,TX-9,54330,A. Green,Democrat
66,PA-3,54392,D. Evans,Democrat
67,IL-2,54422,R. Kelly,Democrat
68,TX-1,54518,N. Moran,Republican
69,MO-7,54711,E. Burlison,Republican
70,IL-13,54986,N. Budzinski,Democrat
71,NY-8,55121,H. Jeffries,Democrat
72,MD-7,55335,K. Mfume,Democrat
73,FL-6,55586,M. Waltz,Republican
74,FL-12,55598,G. M. Bilirakis,Republican
75,ME-2,55629,J. Golden,Democrat
76,NC-11,55831,C. Edwards,Republican
77,FL-10,55908,M. Frost,Democrat
78,NC-3,55911,G. Murphy,Republican
79,MI-1,55941,J. Bergman,Republican
80,AR-2,56091,F. Hill,Republican
81,NY-14,56129,A. Ocasio-Cortez,Democrat
82,KS-2,56153,J. LaTurner,Republican
83,TX-28,56191,H. Cuellar,Democrat
84,AZ-3,56271,R. Gallego,Democrat
85,FL-2,56301,N. Dunn,Republican
86,SC-3,56382,J. Duncan,Republican
87,OH-2,56397,B. Wenstrup,Republican
88,CA-25,56541,R. Ruiz,Democrat
89,OK-4,56822,T. Cole,Republican
90,NC-7,56858,D. Rouzer,Republican
91,TX-13,56933,R. Jackson,Republican
92,IN-8,56957,L. Bucshon,Republican
93,NY-26,56989,B. Higgins,Democrat
94,WV-2,57012,A. Mooney,Republican
95,OR-2,57026,C. Bentz,Republican
96,KS-1,57171,T. Mann,Republican
97,TN-6,57373,J. Rose,Republican
98,TX-17,57475,P. Sessions,Republican
99,NV-1,57599,D. Titus,Democrat
100,IN-7,57722,A. Carson,Democrat
101,OH-9,57732,M. Kaptur,Democrat
102,SC-5,57897,R. Norman,Republican
103,PA-15,57945,G. Thompson,Republican
104,PA-14,58075,G. Reschenthaler,Republican
105,GU-At Large,58289,J. Moylan,Republican
106,NC-9,58473,R. Hudson,Republican
107,TX-32,58647,C. Allred,Democrat
108,KY-6,58668,A. Barr,Republican
109,AZ-2,58671,E. Crane,Republican
110,NC-10,58845,P. McHenry,Republican
111,IL-12,58961,M. Bost,Republican
112,KY-3,58965,M. McGarvey,Democrat
113,KY-2,59005,B. Guthrie,Republican
114,NC-6,59118,K. Manning,Democrat
115,MO-4,59197,M. Alford,Republican
116,TN-8,59218,D. Kustoff,Republican
117,CA-13,59219,J. Duarte,Republican
118,VA-4,59458,J. McClellan,Democrat
119,OR-4,59512,V. Hoyle,Democrat
120,VA-3,59672,R. Scott,Democrat
121,MI-2,59683,J. Moolenaar,Republican
122,TN-3,59794,C. Fleischmann,Republican
123,KS-4,59974,R. Estes,Republican
124,CO-3,59991,L. Boebert,Republican
125,CA-37,60083,S. Kamlager-Dove,Democrat
126,GA-1,60214,B. Carter,Republican
127,OH-10,60227,M. Turner,Republican
128,TX-27,60411,M. Cloud,Republican
129,CA-1,60424,D. LaMalfa,Republican
130,NE-3,60513,A. Smith,Republican
131,TX-11,60533,A. Pfluger,Republican
132,IN-9,60586,E. Houchin,Republican
133,PA-16,60630,M. Kelly,Republican
134,PA-13,60754,J. Joyce,Republican
135,IN-2,60853,R. Yakym,Republican
136,IL-1,61003,J. Jackson,Democrat
137,OK-1,61030,K. Hern,Republican
138,FL-4,61311,A. Bean,Republican
139,FL-26,61315,M. Diaz-Balart,Republican
140,NM-1,61331,M. Stansbury,Democrat
141,TX-30,61427,J. Crockett,Democrat
142,NJ-10,61465,D. Payne Jr.,Democrat
143,PA-12,61514,S. Lee,Democrat
144,FL-15,61625,L. Lee,Republican
145,WI-3,61644,D. Van Orden,Republican
146,SC-2,61683,J. Wilson,Republican
147,MO-5,61749,E. Cleaver,Democrat
148,FL-13,61804,A. Luna,Republican
149,IN-3,61889,J. Banks,Republican
150,TN-2,61938,T. Burchett,Republican
151,NY-19,61944,M. Molinaro,Republican
152,MI-5,61969,T. Walberg,Republican
153,TN-4,62108,S. DesJarlais,Republican
154,OH-13,62114,E. Sykes,Democrat
155,VA-6,62229,B. Cline,Republican
156,MT-2,62239,M. Rosendale Sr.,Republican
157,VA-5,62276,B. Good,Republican
158,OH-5,62384,B. Latta,Republican
159,PA-9,62659,D. Meuser,Republican
160,WA-5,62811,C. McMorris Rodgers,Republican
161,FL-14,62814,K. Castor,Democrat
162,NY-23,62999,N. Langworthy,Republican
163,PA-8,63058,M. Cartwright,Democrat
164,NC-8,63115,D. Bishop,Republican
165,NY-21,63211,E. Stefanik,Republican
166,NY-9,63306,Y. Clarke,Democrat
167,FL-9,63463,D. Soto,Democrat
168,FL-8,63612,B. Posey,Republican
169,IA-1,63665,M. Miller-Meeks,Republican
170,GA-13,63684,D. Scott,Democrat
171,NV-4,63987,S. Horsford,Democrat
172,TX-35,63991,G. Casar,Democrat
173,OH-3,64055,J. Beatty,Democrat
