family,father,mother
001,78.5,67.0
002,75.5,66.5
003,75.0,64.0
004,75.0,64.0
005,75.0,58.5
006,74.0,68.0
007,74.0,68.0
008,74.0,66.5
009,74.5,66.0
010,74.0,65.5
011,74.0,62.0
012,74.0,61.0
013,73.0,67.0
014,73.0,67.0
015,73.0,66.5
016,73.0,65.0
017,73.0,64.5
018,73.0,64.0
019,73.2,63.0
020,72.7,69.0
021,72.0,68.0
022,72.0,67.0
023,72.0,65.0
024,72.0,65.5
025,72.0,64.0
026,72.0,63.0
027,72.0,63.0
028,72.0,63.0
029,72.5,63.5
030,72.0,62.0
031,72.5,62.0
032,72.0,62.0
033,72.0,62.0
034,72.0,61.0
035,71.0,69.0
036,71.0,67.0
037,71.0,66.0
038,71.0,66.0
039,71.0,66.0
040,71.0,66.0
041,71.7,65.5
042,71.0,65.5
043,71.5,65.5
044,71.5,65.0
045,71.0,65.0
046,71.0,64.0
047,71.7,64.5
048,71.0,64.0
049,71.5,64.5
050,71.0,64.5
051,71.2,63.0
052,71.0,63.5
053,71.0,63.0
054,71.0,63.0
055,71.0,62.0
056,71.0,62.0
057,71.0,62.5
058,71.0,62.0
059,71.0,61.0
060,71.0,58.0
061,70.0,69.0
062,70.0,69.0
063,70.0,68.0
064,70.0,67.0
065,70.0,67.0
066,70.0,66.5
067,70.5,65.0
068,70.5,65.0
069,70.0,65.0
070,70.0,65.0
071,70.0,65.0
072,70.0,65.0
073,70.0,65.0
074,70.0,65.0
075,70.0,64.7
076,70.0,64.0
077,70.0,64.0
078,70.0,64.2
079,70.5,64.0
080,70.5,64.5
081,70.0,64.0
082,70.0,64.0
083,70.0,63.7
084,70.5,63.0
085,70.5,63.0
086,70.0,63.5
087,70.0,63.0
088,70.0,63.0
089,70.5,62.0
090,70.3,62.7
091,70.5,62.0
092,70.0,61.0
093,70.0,60.0
094,70.0,60.0
095,70.0,58.5
096,70.0,58.0
097,69.0,68.5
098,69.0,67.0
099,69.0,66.0
100,69.0,66.0
101,69.0,66.7
102,69.0,66.0
103,69.0,66.5
104,69.5,66.5
105,69.0,66.5
106,69.5,66.0
107,69.0,66.0
108,69.0,65.0
109,69.5,64.5
110,69.2,64.0
111,69.0,63.5
112,69.0,63.0
113,69.0,63.0
114,69.0,63.0
115,69.0,63.5
116,69.0,63.5
117,69.7,62.0
118,69.5,62.0
119,69.0,62.0
120,69.5,62.0
121,69.0,62.5
122,69.0,62.0
123,69.5,61.0
124,69.0,61.0
125,69.0,60.0
126,69.0,60.0
127,69.0,60.5
128,68.7,70.5
129,68.5,67.0
130,68.5,66.5
131,68.0,65.0
132,68.0,65.5
133,68.0,65.5
134,68.0,65.0
135,68.5,65.0
136,68.0,64.0
136A,68.5,65.0
137,68.0,64.0
138,68.0,64.0
139,68.0,64.5
140,68.0,64.0
141,68.0,63.0
142,68.5,63.5
143,68.0,63.0
144,68.0,63.0
145,68.0,63.0
146,68.0,63.0
147,68.5,63.5
148,68.0,63.0
149,68.2,63.5
150,68.0,62.5
151,68.7,62.0
152,68.0,62.5
153,68.0,61.0
154,68.0,60.2
155,68.0,60.0
156,68.0,60.0
157,68.5,59.0
158,68.0,59.0
159,67.0,66.2
160,67.0,66.5
161,67.0,66.0
162,67.0,65.0
163,67.0,65.5
164,67.0,65.5
165,67.0,65.0
166,67.5,65.0
167,67.0,64.0
168,67.0,63.5
169,67.0,63.0
170,67.5,62.0
171,67.0,61.0
172,66.0,67.0
173,66.0,67.0
174,66.0,66.0
175,66.0,66.0
176,66.5,65.0
177,66.0,65.5
178,66.0,63.0
179,66.0,63.5
180,66.5,63.0
181,66.5,62.5
182,66.0,61.5
183,66.0,60.0
184,66.0,60.0
185,66.0,59.0
186,65.0,67.0
187,65.0,67.0
188,65.0,66.0
189,65.0,66.0
190,65.0,65.0
191,65.0,65.5
192,65.0,65.0
193,65.0,64.0
194,65.0,63.0
195,65.0,63.0
196,65.5,63.0
197,65.5,60.0
198,64.0,64.0
199,64.0,64.0
200,64.0,63.0
201,64.0,60.0
202,63.0,63.5
203,62.0,66.0
204,62.5,63.0
