state_type,price
private,4.82
private,5.29
private,4.89
private,4.95
private,4.55
private,4.9
private,5.25
private,5.3
private,4.29
private,4.85
private,4.54
private,4.75
private,4.85
private,4.85
private,4.5
private,4.75
private,4.79
private,4.85
private,4.79
private,4.95
private,4.95
private,4.75
private,5.2
private,5.1
private,4.8
private,4.29
government,4.65
government,4.55
government,4.11
government,4.15
government,4.2
government,4.55
government,3.8
government,4.0
government,4.19
government,4.75
government,4.74
government,4.5
government,4.1
government,4.0
government,5.05
government,4.2
