Set #,Merged,Match1,Match2
1,1.0,3.0,2.0
2,1.0,2.0,3.0
3,3.0,2.0,1.0
4,2.0,1.0,3.0
5,1.0,2.0,3.0
6,1.0,2.0,3.0
7,1.0,3.0,2.0
8,1.0,2.0,3.0
9,2.0,3.0,1.0
10,1.0,3.0,2.0
11,1.0,3.0,2.0
12,2.0,1.0,3.0
13,1.0,3.0,2.0
14,1.0,3.0,2.0
15,1.0,2.0,3.0
16,1.0,3.0,2.0
17,2.0,3.0,1.0
18,1.0,3.0,2.0
19,2.0,1.0,3.0
20,1.0,3.0,2.0
21,2.0,3.0,1.0
22,2.0,1.0,3.0
23,1.0,3.0,2.0
24,1.0,2.0,3.0
25,1.0,2.0,3.0
26,3.0,1.0,2.0
27,2.0,1.0,3.0
28,1.0,3.0,2.0
29,3.0,2.0,1.0
30,1.0,3.0,2.0
31,1.0,2.0,3.0
32,3.0,1.0,2.0
33,1.0,3.0,2.0
