Set #,Merged,Match1,Match2
1,-0.20000,0.02564,0.000000
2,-0.34831,-0.12500,0.080460
3,0.07514,0.06322,-0.023121
4,0.12613,-0.04199,0.164671
5,-0.10169,0.08000,0.277778
6,0.03784,0.14907,0.430168
7,0.11616,0.15183,0.142857
8,-0.09836,0.03774,0.040000
9,0.02137,0.07661,.0111111
10,-0.01711,0.28434,0.189139
11,-0.36478,0.13907,0.038869
12,0.08814,0.03874,0.094792
13,-0.26316,0.05641,0.045139
14,-0.04938,0.05371,0.008333
15,0.01146,0.04805,0.094817
16,0.00975,0.19816,0.060929
17,0.07143,0.42083,-0.024823
18,0.00183,0.07432,0.053191
19,0.00482,-0.00707,0.050083
20,-0.05399,0.17152,0.109524
21,0.02270,0.02788,-0.022456
22,0.05984,0.04857,0.167064
23,-0.05987,0.02643,0.020676
24,-0.08861,-0.05927,0.077067
25,-0.02483,-0.01839,0.059633
26,0.07643,0.01262,0.034635
27,-0.00170,-0.04549,0.053571
28,-0.21975,0.34309,0.042789
29,0.38237,0.22105,0.115773
30,-0.00676,0.25494,0.237047
31,-0.16298,0.01124,0.190476
32,0.19182,0.15048,0.151994
33,0.06116,0.17045,0.093525
